Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,32.43,32.540001,32.34,32.450001,31.424839,1642300
2016-09-27,32.470001,32.709999,32.41,32.669998,31.637882,1499500
2016-09-28,32.650002,33.349998,32.5,33.330002,32.277035,2824600
2016-09-29,33.299999,33.330002,32.799999,32.830002,31.792831,1528600
2016-09-30,32.950001,33.369999,32.900002,33.080002,32.034939,2488600
2016-10-03,32.880001,33.139999,32.759998,33.09,32.044617,2263400
2016-10-04,33.080002,33.189999,32.799999,33.029999,31.986513,1956900
2016-10-05,33.16,33.400002,33.07,33.290001,32.238304,1587600
2016-10-06,33.32,33.360001,33.009998,33.240002,32.189884,1901300
2016-10-07,33.360001,33.360001,32.759998,32.98,31.938093,1540100
2016-10-10,33.099998,33.259998,32.91,32.959999,31.918726,1349100
2016-10-11,32.900002,32.900002,32.34,32.389999,31.366735,2148200
2016-10-12,32.349998,32.560001,32.150002,32.419998,31.395784,1510400
2016-10-13,32.23,32.279999,32.02,32.119999,31.105263,1780700
2016-10-14,32.200001,32.419998,32.029999,32.080002,31.066528,2220400
2016-10-17,32.029999,32.18,31.9,32.130001,31.114948,2066500
2016-10-18,32.59,32.810001,32.0,32.16,31.143997,4031000
2016-10-19,32.130001,32.349998,32.040001,32.16,31.143997,2496300
2016-10-20,32.169998,32.200001,31.870001,32.07,31.056843,3248100
2016-10-21,32.009998,32.220001,31.860001,32.200001,31.182737,1613600
2016-10-24,32.439999,32.639999,32.369999,32.619999,31.589464,1564500
2016-10-25,32.470001,32.709999,32.25,32.41,31.386099,2183700
2016-10-26,32.32,32.540001,32.18,32.330002,31.30863,1812400
2016-10-27,32.470001,32.59,31.889999,32.07,31.056843,2539100
2016-10-28,32.5,32.889999,30.450001,30.74,29.76886,4740300
2016-10-31,30.690001,30.959999,30.639999,30.74,29.76886,2876000
2016-11-01,30.85,30.98,30.52,30.780001,29.807598,3374400
2016-11-02,30.780001,30.99,30.57,30.84,29.865702,3311300
2016-11-03,30.99,31.1,30.629999,30.700001,29.730125,1843600
2016-11-04,30.549999,31.01,30.530001,30.68,29.710756,1711700
2016-11-07,31.139999,31.639999,31.08,31.51,30.514532,1970600
2016-11-08,31.51,31.629999,31.219999,31.559999,30.562954,1495300
2016-11-09,30.9,31.940001,30.700001,31.74,30.737268,3140100
2016-11-10,31.9,32.209999,31.27,31.889999,30.882526,2948400
2016-11-11,31.799999,32.23,31.74,32.07,31.056843,3222400
2016-11-14,32.189999,32.369999,31.219999,31.33,30.340221,4074200
2016-11-15,31.049999,31.620001,31.01,31.48,30.735643,2600400
2016-11-16,31.33,31.559999,31.27,31.559999,30.813751,1807700
2016-11-17,31.389999,31.709999,31.139999,31.48,30.735643,2573900
2016-11-18,31.4,31.459999,30.84,31.01,30.276756,2479600
2016-11-21,31.139999,31.469999,30.940001,31.41,30.667299,2576500
2016-11-22,31.440001,31.6,31.299999,31.58,30.833279,1450400
2016-11-23,31.58,31.73,31.5,31.6,30.852806,1655500
2016-11-25,31.6,31.940001,31.6,31.780001,31.028549,758000
2016-11-28,31.73,32.07,31.700001,31.959999,31.204292,1889700
2016-11-29,31.98,32.720001,31.93,32.48,31.711998,3539700
2016-11-30,32.580002,32.580002,31.959999,31.959999,31.204292,2786300
2016-12-01,31.93,32.060001,30.4,30.41,29.690945,3942500
2016-12-02,30.33,31.110001,30.01,31.049999,30.315811,4219600
2016-12-05,31.26,31.889999,31.139999,31.370001,30.628244,3729300
2016-12-06,31.34,31.49,30.84,31.07,30.335339,2517300
2016-12-07,31.059999,31.870001,30.99,31.75,30.999258,2450800
2016-12-08,31.75,31.950001,31.58,31.780001,31.028549,2198500
2016-12-09,31.85,31.870001,31.450001,31.68,30.930914,1460000
2016-12-12,31.629999,31.860001,31.5,31.82,31.067606,1593900
2016-12-13,31.82,32.970001,31.799999,32.73,31.956087,3931300
2016-12-14,32.77,32.98,32.279999,32.369999,31.604597,2878200
2016-12-15,32.369999,32.849998,32.200001,32.740002,31.965851,2180800
2016-12-16,32.709999,32.709999,31.75,32.02,31.262875,7525900
2016-12-19,32.110001,32.75,32.0,32.720001,31.946321,2347200
2016-12-20,32.869999,33.040001,32.720001,32.880001,32.102543,2021500
2016-12-21,32.779999,32.880001,32.380001,32.43,31.663181,2516000
2016-12-22,32.380001,32.380001,32.0,32.16,31.399565,1842300
2016-12-23,32.139999,32.23,31.99,32.049999,31.292164,1129900
2016-12-27,32.130001,32.450001,32.080002,32.23,31.467911,718500
2016-12-28,32.290001,32.380001,31.93,31.969999,31.214056,769600
2016-12-29,31.92,32.200001,31.92,32.139999,31.380037,889900
2016-12-30,32.18,32.43,31.68,31.77,31.018787,1737100
2017-01-03,32.060001,32.349998,31.85,32.290001,31.526491,1916200
2017-01-04,32.139999,33.029999,32.110001,32.810001,32.034195,3063900
2017-01-05,32.759998,33.169998,32.759998,33.080002,32.297813,2030500
2017-01-06,33.029999,33.290001,32.799999,33.189999,32.405209,2270700
2017-01-09,33.119999,33.450001,33.009998,33.25,32.463791,2290300
2017-01-10,33.23,33.240002,32.860001,33.009998,32.229465,2601600
2017-01-11,32.75,33.060001,32.650002,33.0,32.219704,2085900
2017-01-12,33.009998,33.150002,32.66,33.060001,32.278286,1654400
2017-01-13,33.16,33.240002,32.990002,33.09,32.307575,1028100
2017-01-17,33.07,33.099998,32.630001,32.799999,32.024429,1609900
2017-01-18,32.790001,32.869999,32.57,32.700001,31.926796,1782600
2017-01-19,32.700001,32.810001,32.52,32.549999,31.780342,2366400
2017-01-20,32.700001,32.77,32.419998,32.57,31.799868,3265200
2017-01-23,32.540001,32.75,32.25,32.450001,31.682709,2192600
2017-01-24,32.48,33.130001,32.380001,32.950001,32.170887,3971000
2017-01-25,31.530001,32.009998,30.92,31.309999,30.569662,8248800
2017-01-26,31.389999,31.75,30.93,31.34,30.598953,4500700
2017-01-27,31.49,31.690001,31.02,31.129999,30.393919,3184400
2017-01-30,31.08,31.16,30.719999,31.129999,30.393919,4276100
2017-01-31,31.209999,31.41,30.93,31.27,30.530609,3285100
2017-02-01,31.299999,31.41,30.83,30.950001,30.218176,3398900
2017-02-02,30.84,31.5,30.620001,31.43,30.686827,3141400
2017-02-03,31.6,31.98,31.530001,31.860001,31.106659,3379300
2017-02-06,31.82,31.950001,31.709999,31.84,31.087132,3151000
2017-02-07,31.83,31.85,31.450001,31.49,30.745407,4891900
