Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,31.879999,32.009998,31.59,31.67,31.67,6223700
2016-09-27,31.799999,32.099998,31.68,31.940001,31.940001,5914100
2016-09-28,31.950001,31.98,31.67,31.85,31.85,6116100
2016-09-29,33.040001,33.189999,32.189999,32.299999,32.299999,16921000
2016-09-30,32.490002,33.02,32.459999,32.900002,32.900002,11959900
2016-10-03,31.299999,32.650002,31.299999,32.549999,32.549999,12565800
2016-10-04,32.709999,33.029999,32.419998,32.560001,32.560001,6656500
2016-10-05,32.400002,32.470001,32.080002,32.150002,32.150002,8807300
2016-10-06,32.119999,32.209999,31.860001,32.130001,32.130001,5676700
2016-10-07,32.25,32.25,31.040001,31.620001,31.620001,10113900
2016-10-10,32.009998,32.25,31.889999,31.950001,31.950001,9292300
2016-10-11,31.959999,31.98,31.139999,31.459999,31.459999,9241200
2016-10-12,31.280001,31.610001,31.280001,31.5,31.5,6354200
2016-10-13,31.790001,31.83,31.08,31.51,31.51,10798700
2016-10-14,31.82,32.240002,31.6,31.889999,31.889999,14391900
2016-10-17,32.389999,32.389999,31.379999,31.809999,31.809999,11429800
2016-10-18,32.049999,32.369999,31.57,31.639999,31.639999,12494800
2016-10-19,31.91,32.639999,31.719999,32.52,32.52,23765800
2016-10-20,29.5,29.84,28.75,29.02,29.02,52625200
2016-10-21,29.059999,29.190001,28.6,29.059999,29.059999,24223500
2016-10-24,29.26,29.709999,29.15,29.219999,29.219999,16402300
2016-10-25,29.200001,29.389999,28.940001,29.049999,29.049999,10293300
2016-10-26,29.0,29.049999,28.77,28.82,28.82,8944500
2016-10-27,28.969999,29.07,28.629999,28.809999,28.809999,11797800
2016-10-28,28.860001,29.1,28.469999,28.6,28.6,10716800
2016-10-31,28.77,28.77,28.440001,28.51,28.51,8703400
2016-11-01,28.51,28.700001,28.09,28.379999,28.379999,8536900
2016-11-02,28.24,28.51,28.110001,28.26,28.26,8841100
2016-11-03,28.17,28.450001,28.02,28.059999,28.059999,6215700
2016-11-04,28.1,28.290001,27.940001,27.950001,27.950001,7293700
2016-11-07,28.34,28.370001,28.08,28.24,28.24,9122700
2016-11-08,28.09,28.25,27.629999,28.030001,28.030001,14234400
2016-11-09,27.34,28.469999,27.33,28.290001,28.290001,11695600
2016-11-10,28.389999,28.75,27.82,28.16,28.16,12155300
2016-11-11,27.969999,28.77,27.950001,28.639999,28.639999,9603100
2016-11-14,28.629999,28.74,27.860001,27.889999,27.889999,12392000
2016-11-15,28.030001,28.77,28.030001,28.49,28.49,9482800
2016-11-16,28.389999,28.889999,28.309999,28.33,28.33,9051500
2016-11-17,28.370001,28.92,28.35,28.870001,28.870001,8908400
2016-11-18,28.84,28.950001,28.57,28.690001,28.690001,11668700
2016-11-21,28.73,29.139999,28.67,29.0,29.0,7376100
2016-11-22,29.440001,29.440001,28.93,29.059999,29.059999,7369200
2016-11-23,28.99,29.07,28.65,28.9,28.9,6022800
2016-11-25,28.940001,28.99,28.75,28.950001,28.950001,3076000
2016-11-28,28.84,28.889999,28.530001,28.57,28.57,7245300
2016-11-29,28.559999,28.809999,28.5,28.51,28.51,7281600
