Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,109.190002,109.489998,108.580002,108.980003,107.727684,1238400
2016-09-27,108.900002,110.43,108.580002,110.110001,108.844704,1024600
2016-09-28,110.029999,110.309998,109.389999,110.18,108.913895,1128900
2016-09-29,109.779999,110.440002,108.93,109.309998,108.053894,892700
2016-09-30,109.529999,110.330002,109.209999,110.010002,108.745857,1681400
2016-10-03,109.830002,110.120003,108.900002,109.160004,107.905624,818200
2016-10-04,109.449997,109.919998,108.879997,109.370003,108.113205,519700
2016-10-05,109.739998,109.769997,108.519997,108.610001,107.696739,1025900
2016-10-06,108.389999,108.949997,107.949997,108.839996,107.924797,1251300
2016-10-07,109.0,109.0,106.93,107.449997,106.546486,1524200
2016-10-10,108.480003,108.839996,108.120003,108.150002,107.240608,860500
2016-10-11,108.080002,108.220001,106.540001,106.989998,106.090363,1831600
2016-10-12,106.959999,108.019997,106.410004,107.529999,106.625816,1628700
2016-10-13,106.800003,107.300003,106.510002,106.800003,105.901955,1376100
2016-10-14,107.559998,108.169998,106.940002,106.989998,106.090363,1100200
2016-10-17,106.949997,107.550003,106.629997,106.879997,105.981285,740900
2016-10-18,107.970001,108.800003,107.080002,107.150002,106.249016,895100
2016-10-19,107.82,108.57,107.150002,108.190002,107.280273,1234600
2016-10-20,108.0,108.32,107.309998,107.900002,106.992714,856400
2016-10-21,107.709999,108.889999,107.080002,108.449997,107.538078,3144100
2016-10-24,109.220001,109.989998,108.800003,109.629997,108.708153,974500
2016-10-25,109.639999,109.809998,108.089996,108.32,107.40918,1202900
2016-10-26,108.199997,108.519997,107.669998,107.82,106.913376,980800
2016-10-27,108.370003,108.5,107.220001,107.309998,106.407669,1244900
2016-10-28,107.5,108.660004,107.349998,108.169998,107.260437,1157800
2016-10-31,108.720001,109.150002,108.279999,108.739998,107.825645,1348400
2016-11-01,109.029999,109.190002,106.629997,107.389999,106.486992,1048100
2016-11-02,107.410004,107.639999,106.029999,106.199997,105.306999,1204400
2016-11-03,108.400002,108.400002,105.480003,105.599998,104.712051,1110300
2016-11-04,104.610001,106.349998,104.559998,105.279999,104.394745,1035000
2016-11-07,106.599998,107.989998,106.370003,107.900002,106.992714,1169800
2016-11-08,107.949997,108.93,107.360001,108.349998,107.438919,882400
2016-11-09,104.269997,109.57,103.220001,109.360001,108.44043,2198500
2016-11-10,109.599998,110.580002,107.190002,109.230003,108.311531,1515600
2016-11-11,109.0,111.519997,108.699997,111.379997,110.443443,2334500
2016-11-14,111.5,112.059998,109.919998,110.010002,109.084969,1822200
2016-11-15,110.459999,111.82,110.230003,110.900002,109.967484,1405600
