Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,78.25,78.959999,78.059998,78.68,77.88456,692500
2016-09-27,78.43,79.190002,78.0,78.620003,77.825172,870700
2016-09-28,78.839996,79.300003,78.43,79.209999,78.409203,1335000
2016-09-29,79.309998,81.029999,79.290001,80.400002,79.587181,1395500
2016-09-30,80.730003,81.379997,80.43,81.139999,80.319695,707800
2016-10-03,80.68,81.68,80.599998,81.419998,80.596848,531900
2016-10-04,81.480003,81.809998,80.910004,81.239998,80.418671,489200
2016-10-05,81.459999,81.68,81.120003,81.57,80.745338,613700
2016-10-06,81.449997,81.690002,80.940002,81.389999,80.567162,597000
2016-10-07,81.089996,81.199997,80.129997,80.75,79.93364,800300
2016-10-10,80.959999,81.489998,80.959999,81.269997,80.448372,719800
2016-10-11,80.75,81.989998,80.5,81.800003,80.973015,1116800
2016-10-12,81.300003,81.989998,80.949997,81.260002,80.438477,716000
2016-10-13,80.800003,81.139999,79.879997,79.93,79.121918,1566100
2016-10-14,80.370003,81.059998,79.790001,80.019997,79.211006,1393200
2016-10-17,76.43,80.150002,76.199997,78.449997,77.656876,2830400
2016-10-18,78.93,79.720001,78.5,78.989998,78.191414,1912600
2016-10-19,79.099998,79.489998,77.720001,77.760002,76.973862,1231500
2016-10-20,77.629997,78.510002,77.260002,77.599998,76.815475,888000
2016-10-21,77.209999,78.400002,76.889999,78.309998,77.518303,630000
2016-10-24,78.639999,79.330002,78.529999,78.75,77.95385,631700
2016-10-25,78.769997,79.18,78.480003,78.839996,78.042938,630900
2016-10-26,78.550003,80.419998,78.550003,80.300003,79.488182,996500
2016-10-27,80.760002,81.300003,79.220001,81.029999,80.210793,929300
2016-10-28,80.889999,81.360001,80.470001,80.940002,80.121712,694700
2016-10-31,81.239998,81.900002,80.940002,81.610001,80.784935,935600
2016-11-01,81.919998,82.300003,81.5,82.019997,81.190788,1279800
2016-11-02,81.75,82.339996,81.5,81.589996,80.982353,1295200
2016-11-03,81.849998,82.300003,80.360001,80.379997,79.781364,1190700
2016-11-04,80.599998,81.199997,80.120003,80.279999,79.682114,892600
2016-11-07,81.32,82.639999,80.830002,82.620003,82.004684,1121900
2016-11-08,82.550003,85.010002,81.699997,84.720001,84.08905,1362700
2016-11-09,84.120003,88.32,84.0,86.120003,85.478615,1914800
2016-11-10,86.459999,88.889999,86.459999,88.07,87.414101,1355600
2016-11-11,87.949997,89.959999,87.75,89.690002,89.022034,1347500
2016-11-14,90.269997,92.169998,89.980003,91.059998,90.381828,2364000
2016-11-15,91.360001,91.43,90.43,91.339996,90.659737,603600
2016-11-16,91.43,92.129997,90.629997,91.309998,90.629959,870400
2016-11-17,91.489998,91.849998,90.919998,91.449997,90.768913,771000
2016-11-18,91.330002,92.080002,90.949997,91.470001,90.78878,648500
2016-11-21,91.940002,92.389999,91.269997,91.669998,90.987289,905500
2016-11-22,92.059998,92.059998,91.07,91.220001,90.540634,829500
2016-11-23,91.330002,92.949997,91.330002,92.919998,92.227974,520100
2016-11-25,92.860001,94.110001,92.860001,93.940002,93.240379,319900
2016-11-28,93.5,94.139999,92.879997,93.120003,92.426491,593900
2016-11-29,92.93,94.32,92.93,93.519997,92.823509,908600
2016-11-30,93.93,95.93,93.860001,95.370003,94.659737,1232600
2016-12-01,95.489998,97.169998,95.209999,97.050003,96.327217,916200
2016-12-02,96.970001,97.440002,95.540001,96.330002,95.612579,1035200
2016-12-05,96.93,97.690002,96.5,97.669998,96.942604,1420200
2016-12-06,97.589996,98.220001,97.0,98.099998,97.369392,1125200
2016-12-07,98.059998,100.269997,97.639999,99.959999,99.215546,1040900
2016-12-08,100.25,100.970001,99.940002,100.68,99.930191,1050800
2016-12-09,100.650002,102.379997,98.730003,99.290001,98.550537,1678500
2016-12-12,99.339996,99.790001,98.379997,99.139999,98.401649,1127900
2016-12-13,99.589996,100.050003,97.639999,99.010002,98.272621,1489200
2016-12-14,99.239998,99.709999,98.309998,98.610001,97.875595,1005100
2016-12-15,98.57,99.419998,97.599998,98.010002,97.280075,1501700
2016-12-16,98.209999,98.309998,96.620003,97.0,96.277588,1635800
2016-12-19,96.870003,97.940002,96.720001,97.860001,97.131187,715100
2016-12-20,98.220001,99.0,97.889999,98.0,97.270142,959200
2016-12-21,98.019997,98.239998,96.949997,97.010002,96.287521,658700
2016-12-22,97.010002,97.610001,96.779999,97.160004,96.436409,548500
2016-12-23,97.010002,97.75,96.949997,97.470001,96.744095,304700
2016-12-27,97.93,98.720001,97.440002,98.010002,97.280075,436600
2016-12-28,98.080002,98.550003,96.980003,97.080002,96.356995,600500
2016-12-29,96.970001,98.059998,96.970001,97.339996,96.615051,532900
