Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,34.060001,34.400002,33.130001,33.25,33.25,2642200
2016-09-27,33.23,33.549999,33.09,33.450001,33.450001,1428200
2016-09-28,33.560001,33.959999,33.330002,33.849998,33.849998,1859000
2016-09-29,33.880001,33.98,32.66,32.82,32.82,1872500
2016-09-30,32.91,34.310001,32.740002,34.18,34.18,3549500
2016-10-03,33.91,34.389999,33.75,34.029999,34.029999,2188200
2016-10-04,34.080002,34.650002,33.73,33.889999,33.889999,1716700
2016-10-05,34.049999,34.299999,33.91,34.189999,34.189999,1910100
2016-10-06,34.029999,34.209999,33.380001,33.439999,33.439999,2451700
2016-10-07,33.66,33.919998,32.23,32.470001,32.470001,2899900
2016-10-10,32.73,33.049999,32.700001,32.82,32.82,2456400
2016-10-11,32.720001,32.720001,32.209999,32.290001,32.290001,3575400
2016-10-12,32.34,32.630001,32.07,32.419998,32.419998,2247000
2016-10-13,32.139999,32.25,31.65,31.860001,31.860001,1941400
2016-10-14,32.07,32.34,31.549999,31.57,31.57,1530400
2016-10-17,31.49,31.809999,31.110001,31.16,31.16,1879300
2016-10-18,31.66,31.809999,31.219999,31.24,31.24,1522800
2016-10-19,31.24,31.82,31.139999,31.559999,31.559999,2877900
2016-10-20,31.51,31.870001,31.219999,31.66,31.66,1706700
2016-10-21,31.360001,32.029999,31.16,31.870001,31.870001,1607500
2016-10-24,32.049999,32.23,31.610001,32.18,32.18,1581800
2016-10-25,31.76,32.689999,31.76,32.240002,32.240002,1527500
2016-10-26,32.139999,32.25,31.85,32.02,32.02,1066300
2016-10-27,32.139999,32.150002,31.42,31.76,31.76,1390200
2016-10-28,31.719999,32.470001,31.719999,32.130001,32.130001,2043700
2016-10-31,32.299999,32.849998,32.18,32.599998,32.599998,2832300
2016-11-01,32.73,32.990002,31.969999,32.259998,32.259998,2113800
2016-11-02,32.279999,32.419998,31.85,31.870001,31.870001,1787000
2016-11-03,32.139999,32.43,31.4,31.43,31.43,1925900
2016-11-04,28.540001,32.400002,28.5,31.66,31.66,4500000
2016-11-07,32.310001,32.93,31.91,32.130001,32.130001,3889500
2016-11-08,32.0,33.279999,31.52,33.139999,33.139999,3534400
2016-11-09,31.0,33.75,31.0,33.150002,33.150002,3223800
2016-11-10,33.150002,33.209999,30.15,30.889999,30.889999,7638600
2016-11-11,30.790001,31.02,30.1,30.620001,30.620001,4974800
2016-11-14,30.65,30.99,30.209999,30.66,30.66,3622200
2016-11-15,30.799999,30.889999,30.200001,30.870001,30.870001,3008800
2016-11-16,30.690001,32.009998,30.549999,31.790001,31.790001,2579400
2016-11-17,31.76,33.110001,31.57,32.91,32.91,3980300
2016-11-18,32.779999,33.360001,32.459999,32.77,32.77,2489800
2016-11-21,32.880001,33.610001,32.560001,33.029999,33.029999,3214100
2016-11-22,33.25,33.43,32.869999,32.990002,32.990002,2074300
2016-11-23,32.889999,33.16,32.189999,32.310001,32.310001,2575000
2016-11-25,32.299999,32.779999,32.130001,32.669998,32.669998,1041100
2016-11-28,32.669998,33.240002,32.02,32.25,32.25,2156500
2016-11-29,32.02,32.540001,31.870001,32.09,32.09,2194500
2016-11-30,32.130001,32.330002,31.01,31.32,31.32,4638700
2016-12-01,31.219999,31.629999,30.030001,30.07,30.07,3353600
2016-12-02,30.219999,30.32,29.48,29.67,29.67,3945700
2016-12-05,29.83,30.17,29.540001,29.549999,29.549999,2784200
2016-12-06,29.52,30.1,29.52,29.91,29.91,4250900
2016-12-07,29.889999,30.440001,29.690001,30.34,30.34,3968900
2016-12-08,30.34,30.809999,30.139999,30.209999,30.209999,3764300
2016-12-09,30.370001,30.58,29.9,30.139999,30.139999,2416800
2016-12-12,30.07,30.440001,29.65,29.780001,29.780001,2559400
2016-12-13,29.940001,30.540001,29.889999,30.280001,30.280001,3680700
2016-12-14,30.34,30.530001,29.959999,30.049999,30.049999,2649000
2016-12-15,29.799999,30.74,29.799999,30.110001,30.110001,2296000
2016-12-16,30.25,30.950001,30.09,30.48,30.48,3328200
2016-12-19,30.65,30.9,30.32,30.33,30.33,1609400
2016-12-20,30.469999,30.870001,30.280001,30.83,30.83,1640500
2016-12-21,30.77,31.18,30.620001,31.059999,31.059999,1180200
2016-12-22,31.16,31.200001,30.719999,30.82,30.82,1725600
2016-12-23,30.709999,31.190001,30.709999,30.860001,30.860001,1118400
2016-12-27,30.99,31.73,30.77,31.43,31.43,1284500
2016-12-28,31.450001,31.49,30.870001,31.02,31.02,1130500
2016-12-29,31.059999,31.17,30.690001,30.799999,30.799999,1175700
2016-12-30,30.91,30.91,30.33,30.59,30.59,1487600
2017-01-03,30.99,31.32,30.43,30.65,30.65,2515400
2017-01-04,30.73,31.35,30.73,31.35,31.35,1733000
2017-01-05,31.27,32.330002,31.23,32.32,32.32,2271700
2017-01-06,32.52,33.389999,32.299999,33.34,33.34,2588900
2017-01-09,33.43,33.959999,32.900002,33.790001,33.790001,1841800
2017-01-10,33.900002,34.060001,33.369999,34.009998,34.009998,2069400
2017-01-11,33.939999,34.939999,33.869999,34.91,34.91,2495300
