Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,33.220001,33.470001,32.259998,32.32,32.32,1425500
2016-09-27,32.380001,32.560001,32.16,32.459999,32.459999,1196000
2016-09-28,32.639999,32.970001,32.450001,32.84,32.84,1717800
2016-09-29,32.830002,32.970001,31.73,31.85,31.85,2367000
2016-09-30,31.99,33.220001,31.76,33.040001,33.040001,2988000
2016-10-03,32.720001,33.27,32.650002,33.0,33.0,3154500
2016-10-04,33.139999,33.5,32.73,32.869999,32.869999,3388500
2016-10-05,32.919998,33.23,32.860001,33.060001,33.060001,2244500
2016-10-06,32.889999,33.07,32.400002,32.43,32.43,2426800
2016-10-07,32.639999,32.75,31.290001,31.559999,31.559999,3831300
2016-10-10,31.74,32.02,31.719999,31.73,31.73,1280700
2016-10-11,31.73,31.73,31.34,31.51,31.51,6151500
2016-10-12,31.48,31.809999,31.34,31.76,31.76,3534700
2016-10-13,31.450001,31.629999,30.98,31.200001,31.200001,2825300
2016-10-14,31.4,31.690001,30.9,30.950001,30.950001,1716100
2016-10-17,30.879999,31.110001,30.450001,30.469999,30.469999,1632600
2016-10-18,31.139999,31.139999,30.5,30.52,30.52,2382600
2016-10-19,30.57,31.049999,30.52,30.870001,30.870001,1255500
2016-10-20,30.860001,31.1,30.48,30.959999,30.959999,1157300
2016-10-21,30.889999,31.360001,30.450001,31.25,31.25,1652100
2016-10-24,31.41,31.65,31.0,31.59,31.59,1174400
2016-10-25,31.52,31.99,31.440001,31.559999,31.559999,1415600
2016-10-26,31.530001,31.530001,31.139999,31.370001,31.370001,1042600
2016-10-27,31.459999,31.459999,30.75,31.129999,31.129999,1748800
2016-10-28,31.01,31.85,31.01,31.549999,31.549999,2134700
2016-10-31,31.690001,32.119999,31.540001,31.799999,31.799999,1942000
2016-11-01,31.93,32.110001,31.290001,31.610001,31.610001,3037100
2016-11-02,31.639999,31.75,31.27,31.290001,31.290001,2272100
2016-11-03,31.370001,31.77,30.690001,30.700001,30.700001,2435700
2016-11-04,28.440001,31.57,27.82,30.85,30.85,3899400
2016-11-07,31.360001,31.98,31.040001,31.299999,31.299999,2788200
2016-11-08,31.290001,32.360001,30.700001,32.240002,32.240002,2757500
2016-11-09,29.99,32.830002,29.99,32.119999,32.119999,3965600
2016-11-10,32.0,32.240002,28.68,30.290001,30.290001,9250800
2016-11-11,30.16,30.4,29.440001,30.01,30.01,3306000
2016-11-14,30.049999,30.35,29.6,30.16,30.16,5746500
2016-11-15,30.18,30.450001,29.620001,30.41,30.41,4939400
2016-11-16,30.26,31.35,30.02,31.129999,31.129999,2176700
2016-11-17,30.969999,32.310001,30.969999,32.0,32.0,3806000
2016-11-18,31.82,32.349998,31.559999,31.76,31.76,2633800
2016-11-21,31.84,32.610001,31.639999,31.959999,31.959999,3075300
2016-11-22,32.09,32.439999,31.92,32.049999,32.049999,2388200
2016-11-23,31.969999,32.18,31.17,31.25,31.25,2488800
2016-11-25,31.440001,31.629999,31.139999,31.530001,31.530001,1523800
2016-11-28,31.370001,31.9,31.049999,31.16,31.16,4340800
2016-11-29,31.059999,31.530001,30.870001,31.09,31.09,3178400
2016-11-30,31.15,31.379999,30.219999,30.450001,30.450001,4248200
