Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,28.059999,28.18,27.58,28.049999,28.049999,376800
2016-09-27,28.120001,28.24,27.715,27.76,27.76,360600
2016-09-28,27.809999,28.09,27.709999,28.09,28.09,247100
2016-09-29,27.940001,28.209999,27.75,27.82,27.82,300700
2016-09-30,27.75,28.120001,27.540001,27.59,27.59,373700
2016-10-03,27.450001,28.094999,27.450001,28.059999,28.059999,274100
2016-10-04,28.18,28.42,28.02,28.24,28.24,445200
2016-10-05,28.379999,28.68,28.219999,28.379999,28.379999,271800
2016-10-06,28.33,28.33,27.85,27.950001,27.950001,409100
2016-10-07,27.98,28.18,27.93,28.030001,28.030001,438000
2016-10-10,28.07,28.129999,28.02,28.07,28.07,101000
2016-10-11,28.049999,28.18,27.889999,27.91,27.91,299600
2016-10-12,28.02,28.129999,27.780001,27.99,27.99,179400
2016-10-13,27.950001,28.18,27.690001,27.860001,27.860001,170000
2016-10-14,27.879999,28.110001,27.639999,27.709999,27.709999,139900
2016-10-17,27.719999,27.809999,27.559999,27.66,27.66,244200
2016-10-18,27.889999,27.950001,27.68,27.719999,27.719999,110600
2016-10-19,27.66,27.985001,27.5,27.92,27.92,150100
2016-10-20,27.879999,27.889999,27.450001,27.59,27.59,73300
2016-10-21,27.360001,27.799999,27.32,27.620001,27.620001,112800
2016-10-24,27.59,27.82,27.4,27.549999,27.549999,159500
2016-10-25,27.42,27.68,27.17,27.27,27.27,226100
2016-10-26,27.190001,27.280001,26.690001,27.040001,27.040001,244700
2016-10-27,27.129999,27.15,26.6,26.84,26.84,115000
2016-10-28,26.92,27.41,26.74,27.16,27.16,441200
2016-10-31,27.15,27.77,26.975,27.639999,27.639999,322100
2016-11-01,27.67,27.809999,27.17,27.4,27.4,189400
2016-11-02,27.26,27.73,26.950001,27.049999,27.049999,214600
2016-11-03,27.049999,27.370001,26.440001,26.52,26.52,286200
2016-11-04,26.450001,26.450001,19.1,19.1,19.1,3912500
2016-11-07,19.51,20.26,19.51,19.91,19.91,1486700
2016-11-08,19.91,20.469999,19.9,20.27,20.27,1067000
2016-11-09,20.129999,20.59,19.99,20.42,20.42,717700
2016-11-10,20.389999,20.74,20.02,20.200001,20.200001,778000
2016-11-11,20.200001,20.26,19.860001,20.209999,20.209999,614400
2016-11-14,20.309999,20.73,20.16,20.360001,20.360001,487600
2016-11-15,20.450001,20.5,20.030001,20.17,20.17,197100
2016-11-16,20.209999,20.25,19.9,20.09,20.09,191200
2016-11-17,20.0,20.290001,19.93,20.200001,20.200001,387600
2016-11-18,20.18,21.139999,20.17,20.98,20.98,294400
2016-11-21,21.030001,22.01,21.030001,21.85,21.85,453000
2016-11-22,22.01,22.084999,21.639999,21.690001,21.690001,411400
2016-11-23,21.709999,21.98,21.332001,21.950001,21.950001,159400
2016-11-25,21.9,22.59,21.709999,22.549999,22.549999,112500
2016-11-28,22.459999,22.66,22.219999,22.48,22.48,285500
2016-11-29,22.549999,22.9,22.09,22.1,22.1,251100
2016-11-30,22.1,22.4,21.549999,21.58,21.58,435800
2016-12-01,21.49,21.639999,20.870001,21.02,21.02,564600
2016-12-02,20.940001,21.190001,20.629999,21.09,21.09,550800
2016-12-05,21.17,21.379999,20.965,21.33,21.33,441800
2016-12-06,21.309999,21.6,20.870001,21.02,21.02,378100
2016-12-07,20.93,21.32,20.790001,21.18,21.18,1328900
2016-12-08,21.24,21.41,20.780001,21.15,21.15,1020900
2016-12-09,21.209999,21.465,20.65,20.85,20.85,317800
2016-12-12,20.67,20.9,20.030001,20.15,20.15,513500
2016-12-13,20.200001,21.82,20.030001,21.68,21.68,981800
2016-12-14,21.559999,22.370001,21.525999,22.15,22.15,345300
2016-12-15,22.18,22.469999,21.799999,22.040001,22.040001,410000
2016-12-16,21.98,22.24,21.91,22.059999,22.059999,1349800
2016-12-19,22.040001,22.290001,21.799999,22.200001,22.200001,550500
2016-12-20,22.25,22.48,21.799999,21.950001,21.950001,288000
2016-12-21,21.870001,22.309999,21.790001,22.299999,22.299999,429600
2016-12-22,22.370001,22.66,22.040001,22.450001,22.450001,580400
2016-12-23,22.440001,22.950001,22.27,22.66,22.66,147400
2016-12-27,22.76,23.15,22.540001,22.65,22.65,291700
2016-12-28,22.67,22.67,22.309999,22.6,22.6,276400
2016-12-29,22.6,22.799999,22.16,22.26,22.26,221700
2016-12-30,22.23,22.23,21.76,21.959999,21.959999,264100
2017-01-03,22.1,23.549999,22.1,23.309999,23.309999,417800
2017-01-04,23.27,23.620001,23.09,23.59,23.59,300900
2017-01-05,23.549999,23.855,23.469999,23.620001,23.620001,225000
2017-01-06,23.719999,23.85,23.139999,23.35,23.35,268200
2017-01-09,23.4,23.4,22.93,22.959999,22.959999,159800
2017-01-10,22.91,22.91,22.52,22.530001,22.530001,115600
2017-01-11,22.549999,22.575001,21.940001,22.18,22.18,180100
2017-01-12,22.15,22.42,21.860001,22.379999,22.379999,189400
2017-01-13,22.43,22.809999,22.4,22.65,22.65,133900
2017-01-17,22.66,23.07,22.65,22.93,22.93,183900
2017-01-18,23.040001,23.040001,22.34,22.51,22.51,232200
2017-01-19,22.469999,22.530001,22.190001,22.51,22.51,146100
2017-01-20,22.68,22.91,22.299999,22.59,22.59,160700
2017-01-23,22.610001,22.719999,22.389999,22.639999,22.639999,177300
2017-01-24,22.66,23.07,22.51,22.719999,22.719999,223000
2017-01-25,22.809999,23.16,22.700001,23.1,23.1,249100
2017-01-26,23.1,23.57,23.1,23.360001,23.360001,378700
2017-01-27,23.440001,23.865,23.135,23.35,23.35,614800
2017-01-30,23.280001,23.559999,22.690001,23.08,23.08,377900
2017-01-31,23.07,23.190001,22.73,23.02,23.02,319900
2017-02-01,23.1,23.32,22.610001,22.9,22.9,182800
2017-02-02,22.790001,22.92,22.59,22.9,22.9,192900
2017-02-03,23.02,23.610001,23.02,23.540001,23.540001,177500
2017-02-06,23.440001,23.559999,23.280001,23.32,23.32,158800
2017-02-07,23.34,23.370001,22.68,23.01,23.01,189900
2017-02-08,22.98,22.98,22.49,22.549999,22.549999,134400
2017-02-09,22.549999,22.77,22.190001,22.66,22.66,226900
2017-02-10,22.76,23.24,22.6,23.200001,23.200001,131500
2017-02-13,23.309999,23.33,22.58,22.620001,22.620001,121800
2017-02-14,22.67,22.85,22.301001,22.48,22.48,287700
2017-02-15,22.360001,22.51,22.08,22.290001,22.290001,501600
2017-02-16,23.58,25.950001,23.0,25.889999,25.889999,1464000
2017-02-17,25.809999,26.9,25.280001,26.73,26.73,777900
2017-02-21,26.629999,28.110001,26.5,27.35,27.35,709300
2017-02-22,27.35,27.459999,26.450001,26.5,26.5,264600
2017-02-23,26.440001,26.620001,25.73,26.129999,26.129999,443700
2017-02-24,26.059999,26.200001,25.18,25.309999,25.309999,298000
2017-02-27,25.200001,25.51,24.99,25.18,25.18,345300
2017-02-28,25.08,25.120001,24.309999,24.450001,24.450001,322800
2017-03-01,24.5,24.620001,23.709999,24.370001,24.370001,299200
2017-03-02,24.35,24.35,23.440001,23.48,23.48,291000
2017-03-03,23.4,23.77,23.09,23.450001,23.450001,191400
2017-03-06,23.629999,24.18,23.190001,24.049999,24.049999,388700
2017-03-07,24.08,24.26,23.475,23.639999,23.639999,267300
2017-03-08,23.6,23.645,23.0,23.030001,23.030001,346900
2017-03-09,23.09,23.190001,22.65,22.860001,22.860001,364900
2017-03-10,22.99,23.004999,22.58,22.639999,22.639999,304400
2017-03-13,22.559999,22.75,22.299999,22.389999,22.389999,216800
2017-03-14,22.280001,22.280001,21.809999,22.07,22.07,340500
2017-03-15,22.15,22.6,22.139999,22.48,22.48,345600
2017-03-16,22.549999,22.995001,22.48,22.690001,22.690001,184800
2017-03-17,22.809999,22.809999,22.429001,22.690001,22.690001,417400
2017-03-20,22.74,22.74,22.280001,22.41,22.41,196300
2017-03-21,22.42,22.559999,21.940001,22.0,22.0,267100
2017-03-22,22.0,22.09,21.41,21.639999,21.639999,353900
2017-03-23,21.67,21.719999,21.370001,21.51,21.51,463900
2017-03-24,21.51,21.809999,21.205,21.440001,21.440001,437300
2017-03-27,21.24,21.67,21.1,21.610001,21.610001,411500
2017-03-28,21.610001,22.120001,21.43,22.02,22.02,330600
2017-03-29,21.969999,22.879999,21.82,22.799999,22.799999,443300
2017-03-30,22.77,22.879999,22.32,22.58,22.58,233900
2017-03-31,22.49,22.49,21.77,22.24,22.24,353700
2017-04-03,22.24,22.290001,21.700001,22.09,22.09,289500
2017-04-04,22.059999,22.530001,21.889999,22.370001,22.370001,253800
2017-04-05,22.450001,22.83,22.450001,22.65,22.65,226300
2017-04-06,22.65,23.18,22.469999,22.940001,22.940001,249400
2017-04-07,23.0,23.209999,22.43,22.469999,22.469999,169700
2017-04-10,22.52,22.940001,22.52,22.799999,22.799999,84100
2017-04-11,22.83,22.889999,22.440001,22.639999,22.639999,152600
2017-04-12,22.639999,22.76,22.27,22.620001,22.620001,233200
2017-04-13,22.59,22.59,22.24,22.34,22.34,111100
2017-04-17,22.4,22.67,22.24,22.450001,22.450001,200700
2017-04-18,22.35,23.0,21.790001,21.860001,21.860001,171800
2017-04-19,22.0,22.25,21.74,21.82,21.82,120000
2017-04-20,22.0,22.18,21.77,21.959999,21.959999,139800
2017-04-21,22.02,22.02,21.68,21.790001,21.790001,181800
2017-04-24,22.1,22.17,21.559999,21.66,21.66,178100
2017-04-25,21.67,21.9,21.459999,21.530001,21.530001,262200
2017-04-26,21.610001,21.940001,21.5,21.84,21.84,188100
2017-04-27,21.92,21.92,21.4,21.620001,21.620001,292500
2017-04-28,21.639999,21.700001,21.395,21.469999,21.469999,313200
2017-05-01,21.48,21.799999,21.299999,21.43,21.43,190900
2017-05-02,21.469999,21.620001,21.049999,21.34,21.34,308100
2017-05-03,21.35,21.49,21.16,21.4,21.4,504000
2017-05-04,21.379999,21.41,20.139999,20.24,20.24,743400
2017-05-05,20.290001,20.76,20.25,20.73,20.73,475800
2017-05-08,20.68,22.254999,19.65,22.07,22.07,912700
2017-05-09,22.09,22.1,21.27,21.66,21.66,630900
2017-05-10,21.559999,21.719999,21.120001,21.5,21.5,603200
2017-05-11,21.5,21.639999,20.82,21.290001,21.290001,599900
2017-05-12,21.34,21.405001,20.32,21.030001,21.030001,360500
2017-05-15,21.0,21.73,20.98,21.48,21.48,206500
2017-05-16,21.59,21.83,21.280001,21.35,21.35,261100
2017-05-17,21.190001,21.4,20.209999,20.24,20.24,434800
2017-05-18,20.24,20.34,19.799999,20.200001,20.200001,345300
2017-05-19,20.200001,20.82,20.07,20.51,20.51,514100
2017-05-22,20.530001,21.389999,20.51,21.34,21.34,312500
2017-05-23,21.33,21.85,21.23,21.34,21.34,261900
2017-05-24,21.34,21.459999,20.99,21.15,21.15,148000
2017-05-25,21.17,21.43,20.9,21.0,21.0,256400
2017-05-26,21.059999,21.309999,20.83,21.16,21.16,243100
2017-05-30,21.18,21.190001,20.959,21.01,21.01,124400
2017-05-31,21.040001,21.309999,20.780001,21.110001,21.110001,739300
2017-06-01,21.129999,22.15,21.1,21.98,21.98,268800
2017-06-02,21.99,22.040001,21.511,21.969999,21.969999,155600
2017-06-05,21.799999,22.08,21.719999,21.959999,21.959999,174100
2017-06-06,21.92,21.92,21.540001,21.540001,21.540001,161600
2017-06-07,21.6,21.6,20.75,21.030001,21.030001,141500
2017-06-08,20.969999,21.08,20.73,20.940001,20.940001,122600
2017-06-09,21.030001,21.030001,20.370001,20.4,20.4,217300
2017-06-12,20.309999,21.0,20.1,20.389999,20.389999,173000
2017-06-13,20.42,20.77,20.26,20.48,20.48,190300
2017-06-14,20.620001,20.684999,19.91,20.08,20.08,492900
2017-06-15,19.950001,20.129999,19.799999,20.110001,20.110001,104200
2017-06-16,19.889999,20.52,19.790001,20.299999,20.299999,371600
2017-06-19,20.41,20.639999,20.290001,20.59,20.59,114700
2017-06-20,20.49,20.49,19.879999,20.08,20.08,165500
2017-06-21,20.280001,20.76,20.190001,20.709999,20.709999,158400
2017-06-22,20.77,20.940001,20.5,20.540001,20.540001,140100
2017-06-23,20.469999,20.860001,20.129999,20.719999,20.719999,158300
2017-06-26,20.790001,21.4,20.610001,21.219999,21.219999,488500
2017-06-27,21.139999,21.58,21.08,21.290001,21.290001,241500
2017-06-28,21.360001,21.559999,21.030001,21.51,21.51,219100
2017-06-29,21.469999,21.83,21.200001,21.48,21.48,210300
2017-06-30,21.639999,21.860001,21.389999,21.77,21.77,252500
2017-07-03,21.860001,22.24,21.77,22.1,22.1,261000
2017-07-05,22.09,22.25,21.709999,22.1,22.1,206500
2017-07-06,21.99,22.25,21.924999,22.049999,22.049999,302400
2017-07-07,22.1,22.389999,22.01,22.299999,22.299999,223900
2017-07-10,22.950001,25.74,22.950001,24.49,24.49,1262600
2017-07-11,24.48,25.02,24.110001,24.98,24.98,413800
2017-07-12,25.23,25.4,24.58,24.700001,24.700001,533400
2017-07-13,25.5,26.4,25.299999,25.790001,25.790001,1249300
2017-07-14,25.92,26.16,25.660999,26.110001,26.110001,300600
2017-07-17,26.1,26.67,26.1,26.17,26.17,283400
2017-07-18,26.16,26.16,25.790001,25.91,25.91,257500
2017-07-19,25.940001,26.143,25.389999,25.389999,25.389999,284300
