Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,17.35,17.6,17.18,17.360001,17.360001,19567200
2016-09-27,17.530001,18.08,17.35,18.0,18.0,28621000
2016-09-28,18.16,18.16,17.15,17.440001,17.440001,42715600
2016-09-29,17.450001,17.77,17.35,17.540001,17.540001,31870200
2016-09-30,17.75,18.0,17.58,17.780001,17.780001,21363100
2016-10-03,17.99,18.02,17.6,17.73,17.73,26856100
2016-10-04,17.98,18.040001,17.66,17.799999,17.799999,54502800
2016-10-05,17.549999,18.33,17.280001,17.700001,17.700001,67739500
2016-10-06,17.639999,17.889999,17.540001,17.73,17.73,21606800
2016-10-07,17.719999,17.799999,17.299999,17.610001,17.610001,23849000
2016-10-10,17.719999,17.84,17.49,17.5,17.5,18784100
2016-10-11,17.4,17.469999,16.530001,16.860001,16.860001,38070200
2016-10-12,16.879999,17.040001,16.67,16.780001,16.780001,17901800
2016-10-13,16.559999,17.0,16.17,16.85,16.85,28593700
2016-10-14,17.030001,17.41,16.99,17.129999,17.129999,23539800
2016-10-17,17.02,17.17,16.93,16.99,16.99,12657800
2016-10-18,17.209999,17.66,17.200001,17.41,17.41,20103800
2016-10-19,17.0,17.25,16.85,17.219999,17.219999,18629500
2016-10-20,17.049999,17.5,17.049999,17.200001,17.200001,17129700
2016-10-21,17.0,17.07,16.799999,16.940001,16.940001,18710300
2016-10-24,17.07,17.16,16.969999,17.059999,17.059999,13838700
2016-10-25,17.1,17.610001,17.1,17.540001,17.540001,27444000
2016-10-26,17.299999,17.93,17.200001,17.639999,17.639999,23610500
2016-10-27,17.82,17.9,17.4,17.530001,17.530001,21198300
2016-10-28,17.6,17.67,17.1,17.200001,17.200001,20832400
2016-10-31,17.540001,17.76,17.16,17.16,17.16,23267600
2016-11-01,17.200001,17.41,16.58,16.98,16.98,27146100
2016-11-02,16.950001,17.02,16.5,16.68,16.68,24949700
2016-11-03,16.66,16.809999,16.559999,16.620001,16.620001,17255100
2016-11-04,16.459999,17.02,16.450001,16.68,16.68,18026600
2016-11-07,17.02,17.43,17.02,17.379999,17.379999,21673200
2016-11-08,17.299999,17.549999,17.059999,17.41,17.41,18025200
2016-11-09,16.950001,17.35,16.75,17.200001,17.200001,33873300
2016-11-10,17.35,17.76,16.75,16.99,16.99,30282200
