Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,39.380001,40.509998,39.380001,40.34,40.34,9054400
2016-09-27,40.040001,41.23,39.490002,41.060001,41.060001,8674100
2016-09-28,41.150002,41.189999,40.209999,40.970001,40.970001,6751200
2016-09-29,40.91,41.299999,40.360001,40.389999,40.389999,7953000
2016-09-30,40.290001,41.049999,40.27,40.970001,40.970001,8685600
2016-10-03,40.869999,41.200001,40.16,40.59,40.59,6925000
2016-10-04,41.299999,41.299999,40.439999,40.779999,40.779999,5046600
2016-10-05,40.950001,40.950001,40.400002,40.439999,40.439999,6128200
2016-10-06,40.32,40.389999,39.860001,40.18,40.18,6312000
2016-10-07,40.419998,40.419998,39.619999,39.880001,39.880001,6109900
2016-10-10,40.130001,40.169998,39.59,39.860001,39.860001,6629100
2016-10-11,40.029999,40.110001,38.959999,39.189999,39.189999,9955700
2016-10-12,39.77,39.799999,39.299999,39.529999,39.529999,7039900
2016-10-13,39.389999,39.400002,38.75,39.200001,39.200001,7865200
2016-10-14,39.459999,39.889999,39.23,39.240002,39.240002,6647600
2016-10-17,39.240002,39.619999,39.16,39.48,39.48,5279500
2016-10-18,40.0,40.18,39.779999,39.830002,39.830002,5412900
2016-10-19,39.970001,40.470001,39.84,40.240002,40.240002,6587700
2016-10-20,40.23,40.290001,39.82,40.09,40.09,13337500
2016-10-21,41.849998,44.240002,41.84,44.150002,44.150002,37554700
2016-10-24,44.0,44.52,43.139999,43.869999,43.869999,19079000
2016-10-25,43.66,44.07,43.0,43.310001,43.310001,9463900
2016-10-26,43.0,43.209999,42.310001,42.330002,42.330002,10918800
2016-10-27,42.549999,42.57,41.620998,41.689999,41.689999,9447300
2016-10-28,41.98,41.98,41.07,41.759998,41.759998,11979200
2016-10-31,41.779999,42.0,41.360001,41.66,41.66,7160000
2016-11-01,41.68,42.294998,41.290001,41.540001,41.540001,9399000
2016-11-02,41.43,41.57,41.080002,41.349998,41.349998,7920600
2016-11-03,41.32,41.5,40.919998,41.189999,41.189999,6239900
2016-11-04,40.299999,41.485001,40.299999,40.900002,40.900002,6541300
2016-11-07,41.52,41.650002,41.060001,41.279999,41.279999,7904900
2016-11-08,41.419998,42.150002,41.09,41.580002,41.580002,6945700
2016-11-09,40.599998,41.470001,40.580002,41.259998,41.259998,9744400
2016-11-10,41.900002,41.900002,39.580002,40.450001,40.450001,12097600
2016-11-11,40.77,40.77,39.799999,40.080002,40.080002,10775700
2016-11-14,40.400002,40.400002,38.450001,38.810001,38.810001,17868300
2016-11-15,39.040001,39.48,38.900002,38.939999,38.939999,16037800
2016-11-16,39.049999,39.209999,38.709999,39.07,39.07,12705500
2016-11-17,39.119999,40.055,38.950001,39.880001,39.880001,9758500
2016-11-18,40.080002,40.57,39.91,40.080002,40.080002,9521500
2016-11-21,40.119999,40.77,40.116001,40.630001,40.630001,6667200
2016-11-22,40.990002,41.099998,39.950001,40.330002,40.330002,7734700
2016-11-23,40.310001,40.43,39.849998,40.049999,40.049999,5131000
2016-11-25,40.400002,40.560001,39.990002,40.259998,40.259998,2324300
2016-11-28,40.259998,40.490002,39.924999,39.959999,39.959999,4170600
2016-11-29,40.07,40.360001,39.790001,39.889999,39.889999,5083700
2016-11-30,40.099998,40.18,39.18,39.279999,39.279999,8420700
2016-12-01,39.560001,39.68,38.18,38.34,38.34,11265600
2016-12-02,38.34,38.75,38.060001,38.619999,38.619999,6335200
2016-12-05,38.849998,39.34,38.650002,38.990002,38.990002,5053900
2016-12-06,39.23,39.259998,38.709999,38.98,38.98,5954500
2016-12-07,39.080002,39.459999,38.799999,39.450001,39.450001,7012000
2016-12-08,39.68,40.0,39.450001,39.610001,39.610001,6102600
2016-12-09,39.700001,39.790001,39.375,39.650002,39.650002,3923700
2016-12-12,39.599998,39.900002,39.349998,39.43,39.43,4474500
2016-12-13,39.549999,39.744999,39.389999,39.43,39.43,6385900
2016-12-14,39.459999,39.889999,39.459999,39.549999,39.549999,4658700
2016-12-15,39.799999,40.290001,39.349998,39.540001,39.540001,6418900
2016-12-16,39.900002,39.900002,39.119999,39.32,39.32,9751700
2016-12-19,39.400002,39.799999,39.110001,39.439999,39.439999,4268600
2016-12-20,39.610001,39.740002,39.259998,39.740002,39.740002,3637200
2016-12-21,39.84,40.740002,39.82,40.09,40.09,6768200
2016-12-22,40.040001,40.09,39.540001,39.68,39.68,5065000
2016-12-23,39.82,39.869999,39.48,39.580002,39.580002,3378100
2016-12-27,39.5,40.080002,39.43,39.720001,39.720001,2660100
2016-12-28,39.759998,40.029999,39.529999,39.57,39.57,3292400
2016-12-29,39.540001,40.169998,39.540001,39.959999,39.959999,3694600
