Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,54.279999,54.34,53.860001,54.040001,53.090191,7755600
2016-09-27,54.0,54.209999,53.82,54.189999,53.237549,6463700
2016-09-28,53.880001,54.080002,53.529999,53.98,53.031242,8593500
2016-09-29,53.880001,54.0,52.91,53.450001,52.510555,11993500
2016-09-30,53.650002,54.389999,53.560001,54.139999,53.188427,13767800
2016-10-03,54.099998,54.150002,53.669998,53.84,52.893703,5478600
2016-10-04,54.130001,54.130001,53.41,53.529999,52.589146,6176400
2016-10-05,53.5,53.759998,53.279999,53.349998,52.412312,7451400
2016-10-06,53.299999,53.48,53.029999,53.139999,52.206005,6130300
2016-10-07,53.369999,53.610001,53.0,53.459999,52.520378,7279700
2016-10-10,53.529999,53.599998,53.27,53.299999,52.36319,7204500
2016-10-11,53.130001,53.400002,52.740002,52.919998,51.989868,9720400
2016-10-12,53.009998,53.470001,52.779999,53.16,52.225651,6320500
2016-10-13,52.880001,53.130001,52.669998,52.950001,52.019341,6958100
2016-10-14,53.119999,53.369999,52.959999,53.080002,52.14706,6430100
2016-10-17,52.939999,53.150002,52.689999,52.759998,51.832684,5223500
2016-10-18,53.240002,53.32,52.59,52.610001,51.685322,6517700
2016-10-19,52.91,53.740002,52.900002,53.150002,52.215828,9095300
2016-10-20,53.360001,53.740002,52.91,53.59,52.648094,9286800
2016-10-21,53.419998,53.700001,53.25,53.630001,52.687393,6767200
2016-10-24,53.900002,54.459999,53.889999,54.18,53.227722,6919700
2016-10-25,54.099998,54.169998,53.5,53.669998,52.726688,6052800
2016-10-26,53.599998,53.84,53.360001,53.630001,52.687393,5817800
2016-10-27,53.599998,53.830002,53.130001,53.59,52.648094,7900000
2016-10-28,53.650002,53.84,53.110001,53.529999,52.589146,6620300
2016-10-31,53.700001,53.700001,53.060001,53.07,52.137234,9142500
2016-11-01,53.139999,53.209999,52.09,52.5,51.577251,15425800
2016-11-02,52.34,53.459999,52.310001,52.98,52.048813,10851700
2016-11-03,52.990002,53.0,51.34,51.77,50.860085,21847300
2016-11-04,51.43,53.740002,50.84,52.75,51.822857,21956800
2016-11-07,53.5,54.68,53.189999,54.490002,53.53228,14916800
2016-11-08,54.400002,54.790001,54.119999,54.619999,53.659996,9307900
2016-11-09,53.200001,54.82,52.799999,54.580002,53.620693,13727800
2016-11-10,54.639999,54.82,53.509998,53.57,52.628452,13621700
2016-11-11,53.43,53.990002,53.25,53.93,52.982121,8436400
2016-11-14,53.93,54.470001,53.5,54.220001,53.267025,10488800
2016-11-15,54.09,54.689999,53.900002,54.59,53.878948,9588000
2016-11-16,54.330002,55.52,54.259998,55.439999,54.717873,10774600
2016-11-17,55.220001,55.900002,55.060001,55.849998,55.122532,8744500
2016-11-18,55.720001,56.119999,55.419998,55.77,55.043579,8741000
2016-11-21,55.509998,56.16,55.509998,56.099998,55.369274,8004000
2016-11-22,56.32,57.150002,55.880001,57.119999,56.375992,10268700
2016-11-23,56.91,57.639999,56.900002,57.59,56.83987,8177000
2016-11-25,57.700001,57.700001,57.259998,57.43,56.681957,3228800
2016-11-28,57.0,57.860001,56.759998,57.59,56.83987,8750900
2016-11-29,57.639999,58.209999,57.5,58.169998,57.412312,10582900
2016-11-30,58.189999,58.25,57.860001,57.970001,57.21492,9528000
2016-12-01,57.34,58.52,57.200001,58.509998,57.747883,12381600
2016-12-02,56.650002,57.75,56.57,57.209999,56.464821,16870000
2016-12-05,56.959999,57.84,56.959999,57.5,56.751045,7701200
2016-12-06,57.66,57.700001,57.139999,57.439999,56.691822,7035700
2016-12-07,57.540001,58.849998,57.450001,58.759998,57.994629,9094800
2016-12-08,59.0,59.25,58.41,58.650002,57.886063,7972500
2016-12-09,58.919998,58.950001,58.43,58.75,57.98476,7091300
2016-12-12,58.540001,58.790001,58.34,58.77,58.004501,7736200
2016-12-13,58.990002,59.540001,58.66,59.310001,58.537468,8878100
2016-12-14,59.029999,59.25,58.599998,58.75,57.98476,9022900
2016-12-15,57.970001,58.209999,57.52,57.709999,56.958309,11837800
2016-12-16,58.009998,58.07,57.560001,57.66,56.908958,10580600
2016-12-19,57.439999,57.98,57.439999,57.650002,56.89909,6433800
2016-12-20,57.810001,58.060001,57.32,57.700001,56.948441,4888300
2016-12-21,57.5,57.869999,57.41,57.439999,56.691822,5380500
2016-12-22,57.310001,57.400002,56.720001,57.110001,56.366119,6777700
2016-12-23,57.290001,57.360001,56.889999,57.009998,56.267422,4297300
2016-12-27,56.990002,57.389999,56.810001,56.860001,56.119377,4186200
2016-12-28,56.799999,56.900002,56.25,56.349998,55.61602,5548700
2016-12-29,56.349998,56.470001,56.139999,56.32,55.586411,3780900
2016-12-30,56.279999,56.450001,55.400002,55.52,54.796829,8344500
2017-01-03,55.91,55.950001,55.040001,55.349998,54.629044,7809300
2017-01-04,55.560001,56.200001,55.380001,55.990002,55.260712,7796300
2017-01-05,56.080002,56.529999,55.810001,56.459999,55.72459,7602300
2017-01-06,56.630001,57.27,56.080002,57.130001,56.385864,8587800
2017-01-09,57.259998,58.34,57.25,58.200001,57.441925,12632300
2017-01-10,58.220001,58.259998,57.830002,57.880001,57.126095,6671800
2017-01-11,57.799999,58.119999,57.59,58.099998,57.343224,6028000
2017-01-12,58.0,58.130001,57.639999,58.029999,57.274136,4725900
2017-01-13,58.029999,58.099998,57.650002,57.849998,57.096481,4745600
2017-01-17,57.619999,58.25,57.41,58.0,57.24453,5724600
2017-01-18,58.32,58.580002,58.029999,58.450001,57.688671,7375700
2017-01-19,58.310001,58.450001,57.720001,57.889999,57.13596,7837000
2017-01-20,58.139999,58.200001,57.41,57.66,56.908958,7651600
2017-01-23,57.419998,57.900002,57.150002,57.759998,57.007652,6814400
2017-01-24,57.93,58.5,57.759998,58.439999,57.678795,10704100
2017-01-25,58.669998,58.93,58.450001,58.700001,57.935413,7117600
2017-01-26,58.700001,59.0,58.259998,58.459999,57.69854,12382400
2017-01-27,55.75,56.59,55.650002,56.119999,55.389019,28846300
2017-01-30,56.0,56.240002,55.580002,55.900002,55.171886,13322000
2017-01-31,55.799999,55.869999,54.880001,55.220001,54.500744,14308000
2017-02-01,55.490002,55.5,53.810001,53.900002,53.197937,18796900
2017-02-02,54.040001,54.389999,53.849998,53.869999,53.168324,15289700
2017-02-03,54.209999,55.099998,54.009998,55.060001,54.342827,14161700
2017-02-06,55.009998,55.75,54.900002,55.73,55.004097,13029800
2017-02-07,55.790001,55.84,55.18,55.240002,54.766159,9910500
2017-02-08,55.189999,55.5,55.099998,55.220001,54.746326,11681900
2017-02-09,55.23,56.119999,55.209999,55.810001,55.331268,11078500
2017-02-10,55.73,56.400002,55.560001,56.220001,55.737751,11179000
2017-02-13,56.5,56.66,56.029999,56.110001,55.628693,8027900
2017-02-14,56.02,56.610001,56.02,56.580002,56.094666,8527400
2017-02-15,56.560001,56.880001,56.310001,56.860001,56.372261,6967200
2017-02-16,56.959999,56.990002,56.529999,56.73,56.243374,8524500
2017-02-17,56.799999,57.57,56.709999,57.349998,56.858055,11008400
2017-02-21,57.41,57.810001,57.400002,57.540001,57.046425,8289200
2017-02-22,57.52,57.849998,57.349998,57.57,57.076168,7868000
2017-02-23,57.599998,57.790001,57.389999,57.639999,57.145569,7178600
2017-02-24,57.610001,57.709999,57.150002,57.48,56.986942,7806200
2017-02-27,57.240002,57.299999,56.66,56.779999,56.292946,7702400
2017-02-28,56.709999,57.060001,56.549999,56.869999,56.382172,8750700
2017-03-01,57.27,57.400002,56.939999,57.139999,56.649857,7198000
2017-03-02,57.07,57.189999,56.849998,57.119999,56.630028,6595400
2017-03-03,56.700001,57.259998,56.700001,57.099998,56.610199,7735900
2017-03-06,56.779999,56.810001,56.330002,56.68,56.193802,9160000
2017-03-07,56.580002,56.75,56.02,56.200001,55.717918,10890300
2017-03-08,56.150002,56.349998,55.540001,55.740002,55.261868,13061600
2017-03-09,55.75,55.799999,54.810001,55.189999,54.716579,17844200
2017-03-10,55.389999,55.400002,54.419998,54.529999,54.062244,13886400
2017-03-13,54.57,54.880001,54.400002,54.630001,54.161388,9090200
2017-03-14,54.619999,54.740002,54.189999,54.27,53.804478,7892900
2017-03-15,54.389999,54.650002,54.09,54.540001,54.072159,8712000
2017-03-16,54.849998,54.990002,54.66,54.799999,54.329929,8074300
2017-03-17,55.040001,56.130001,54.950001,55.779999,55.301521,15822100
2017-03-20,55.869999,56.049999,55.509998,55.810001,55.331268,7948400
2017-03-21,56.049999,56.450001,55.490002,55.540001,55.063583,8030600
2017-03-22,55.68,56.040001,55.509998,55.889999,55.41058,8452100
2017-03-23,56.150002,56.43,55.779999,55.849998,55.370922,7357200
2017-03-24,56.110001,57.380001,55.900002,56.810001,56.322689,15763000
2017-03-27,56.66,57.450001,56.459999,57.23,56.739086,8861800
2017-03-28,57.099998,57.52,57.029999,57.349998,56.858055,8331600
2017-03-29,57.169998,57.849998,57.130001,57.540001,57.046425,7001600
2017-03-30,57.450001,58.299999,57.419998,58.16,57.661106,8677900
2017-03-31,58.110001,58.66,58.060001,58.389999,57.889133,9156700
2017-04-03,58.279999,58.470001,57.889999,58.439999,57.938702,8989000
2017-04-04,58.369999,58.41,58.009998,58.32,57.819733,6474800
2017-04-05,57.959999,59.27,57.810001,58.220001,57.720596,13656200
2017-04-06,58.130001,58.360001,57.73,57.919998,57.423168,9112500
2017-04-07,57.799999,58.25,57.549999,58.02,57.522308,6773800
2017-04-10,58.0,58.209999,57.73,57.950001,57.452908,5266300
2017-04-11,57.740002,58.16,57.380001,57.880001,57.383511,5855100
2017-04-12,57.880001,57.900002,57.48,57.580002,57.086082,5450300
2017-04-13,57.610001,57.790001,57.450001,57.509998,57.016682,4871700
2017-04-17,57.68,58.25,57.68,58.080002,57.581795,5626000
2017-04-18,57.59,58.48,57.59,58.349998,57.849476,5449300
2017-04-19,58.599998,59.490002,58.5,59.040001,58.533562,12000600
2017-04-20,59.709999,60.34,59.560001,60.080002,59.56464,12445900
2017-04-21,60.200001,60.689999,60.150002,60.610001,60.090096,8800000
2017-04-24,61.0,61.380001,60.889999,61.110001,60.585804,10721300
2017-04-25,60.650002,61.209999,59.919998,60.959999,60.437088,11031500
2017-04-26,61.23,61.75,60.98,61.560001,61.031944,8525400
2017-04-27,61.630001,61.939999,61.189999,61.299999,60.774174,15285300
2017-04-28,59.41,60.18,58.990002,60.060001,59.544811,25046100
2017-05-01,60.0,60.599998,59.759998,60.18,59.66378,10910300
2017-05-02,60.150002,60.52,60.040001,60.5,59.981037,9152100
2017-05-03,60.52,60.669998,60.259998,60.59,60.070263,7706400
2017-05-04,60.650002,60.849998,60.389999,60.830002,60.308205,6874300
2017-05-05,60.950001,60.990002,60.580002,60.950001,60.427177,6443300
2017-05-08,61.07,61.07,60.700001,60.939999,60.417259,5588400
2017-05-09,60.580002,61.080002,60.57,60.98,60.705959,5806600
2017-05-10,60.880001,60.98,60.209999,60.66,60.387398,7198400
2017-05-11,60.450001,60.509998,60.029999,60.27,59.999149,5516900
2017-05-12,60.279999,60.34,59.830002,59.93,59.660679,5647500
2017-05-15,60.419998,60.490002,60.130001,60.450001,60.178341,5904100
2017-05-16,60.68,60.700001,59.880001,59.98,59.710453,6303500
2017-05-17,59.970001,60.32,59.549999,59.73,59.461575,7581200
2017-05-18,59.73,59.939999,58.869999,59.82,59.55117,8602400
2017-05-19,59.939999,61.919998,59.939999,61.360001,61.084251,12531000
2017-05-22,61.029999,61.720001,61.029999,61.23,60.954834,6391600
2017-05-23,61.400002,61.5,60.860001,61.150002,60.875195,5622500
2017-05-24,61.400002,62.0,60.939999,61.889999,61.61187,7249300
2017-05-25,62.009998,63.110001,61.900002,62.900002,62.617332,8931800
2017-05-26,63.009998,63.419998,62.970001,63.299999,63.015533,6092500
2017-05-30,63.07,63.41,63.009998,63.259998,62.975712,7094600
2017-05-31,63.27,63.610001,63.080002,63.610001,63.324139,7314600
2017-06-01,63.509998,63.82,63.349998,63.75,63.463512,6058300
2017-06-02,63.880001,64.68,63.700001,64.57,64.279823,7840400
2017-06-05,64.849998,64.870003,64.18,64.269997,63.981171,6808900
2017-06-06,64.220001,64.349998,64.050003,64.160004,63.871674,5448400
2017-06-07,64.129997,64.300003,63.34,63.5,63.214634,8365000
2017-06-08,63.439999,63.580002,62.02,62.240002,61.960297,11289300
2017-06-09,62.369999,62.48,61.869999,62.189999,61.910519,11240500
2017-06-12,61.799999,61.990002,60.630001,61.290001,61.014568,11071600
2017-06-13,61.119999,61.259998,60.59,60.919998,60.646225,9384900
2017-06-14,60.669998,60.82,59.860001,60.27,59.999149,9703300
2017-06-15,59.919998,60.279999,59.509998,60.09,59.819958,7516000
2017-06-16,59.889999,60.16,59.470001,60.139999,59.869732,11522400
2017-06-19,60.349998,61.0,60.110001,60.900002,60.62632,6778000
2017-06-20,60.98,61.0,59.700001,59.860001,59.590992,6985700
2017-06-21,60.0,60.310001,59.709999,59.959999,59.69054,6027600
2017-06-22,60.09,60.099998,59.400002,59.509998,59.242565,5602000
2017-06-23,59.759998,60.169998,59.580002,59.810001,59.541218,6469500
2017-06-26,60.02,60.150002,59.330002,59.639999,59.371979,5674600
2017-06-27,59.540001,59.689999,58.810001,58.959999,58.695034,5652400
2017-06-28,59.060001,59.25,58.799999,59.18,58.914047,5419200
2017-06-29,59.169998,59.18,57.959999,58.360001,58.097733,7421200
2017-06-30,58.68,58.950001,58.290001,58.310001,58.047958,8062000
2017-07-03,58.900002,58.990002,58.25,58.25,57.988228,4575300
2017-07-05,58.43,58.5,57.799999,57.939999,57.679619,7773600
2017-07-06,57.799999,57.919998,57.400002,57.599998,57.341148,8839600
2017-07-07,57.790001,58.360001,57.540001,58.040001,57.779171,7278300
2017-07-10,58.18,58.349998,57.75,57.810001,57.550205,4832100
2017-07-11,57.91,58.080002,57.529999,57.900002,57.639801,5422300
2017-07-12,58.209999,58.709999,58.02,58.540001,58.276924,7141900
2017-07-13,58.799999,58.869999,58.119999,58.380001,58.117645,8460200
2017-07-14,58.400002,58.919998,58.279999,58.759998,58.495934,5441400
2017-07-17,58.73,58.869999,58.279999,58.330002,58.067871,6774500
2017-07-18,58.119999,58.580002,57.689999,58.209999,57.948406,7857500
2017-07-19,58.150002,58.41,57.900002,58.110001,57.848858,8203600
2017-07-20,58.41,58.84,58.0,58.029999,57.769215,10546700
2017-07-21,57.919998,58.259998,57.830002,57.98,57.71944,6717200
2017-07-24,58.0,58.25,57.93,58.02,57.759262,7442600
2017-07-25,58.220001,58.84,57.98,58.549999,58.286877,7933100
2017-07-26,58.799999,58.84,57.779999,57.939999,57.679619,8775900
2017-07-27,58.25,59.66,57.93,59.5,59.232609,23286700
2017-07-28,55.23,55.959999,53.41,54.0,53.757328,53454800
2017-07-31,54.48,54.68,53.950001,53.98,53.737415,20299400
2017-08-01,54.57,54.790001,53.970001,54.73,54.484047,18120900
2017-08-02,54.75,55.450001,54.669998,55.43,55.180901,14764900
2017-08-03,55.639999,56.119999,55.5,55.68,55.429775,13331500
2017-08-04,55.970001,56.049999,55.09,55.439999,55.190853,9179800
2017-08-07,55.599998,55.93,55.419998,55.630001,55.380001,7253900
2017-08-08,55.549999,55.580002,54.360001,54.52,54.52,11095300
2017-08-09,54.43,54.43,53.299999,53.740002,53.740002,16717700
2017-08-10,53.52,53.75,52.990002,53.07,53.07,13235300
2017-08-11,53.049999,53.400002,53.049999,53.18,53.18,9235000
2017-08-14,53.599998,53.599998,53.18,53.220001,53.220001,7319500
2017-08-15,53.41,53.419998,52.889999,53.150002,53.150002,6674600
2017-08-16,53.259998,53.919998,53.25,53.5,53.5,7667100
2017-08-17,53.32,53.779999,52.990002,53.040001,53.040001,7451700
2017-08-18,52.919998,53.09,52.580002,52.700001,52.700001,10370500
2017-08-21,53.139999,53.52,52.799999,53.150002,53.150002,12753200
2017-08-22,53.490002,54.740002,53.389999,54.450001,54.450001,14547600
2017-08-23,53.959999,54.099998,53.650002,54.080002,54.080002,11838500
2017-08-24,54.259998,54.450001,53.77,53.939999,53.939999,8716700
2017-08-25,54.619999,54.689999,54.189999,54.360001,54.360001,8601100
2017-08-28,54.540001,54.580002,54.02,54.400002,54.400002,6643700
2017-08-29,54.040001,54.290001,54.0,54.099998,54.099998,6212400
2017-08-30,54.040001,54.619999,54.040001,54.52,54.52,5596600
2017-08-31,54.68,54.990002,54.57,54.860001,54.860001,8245300
2017-09-01,54.900002,55.16,54.880001,54.93,54.93,7696300
2017-09-05,54.950001,55.200001,54.599998,55.130001,55.130001,9160500
2017-09-06,55.119999,55.279999,54.130001,54.310001,54.310001,11372300
2017-09-07,54.419998,54.68,53.25,53.470001,53.470001,13801900
2017-09-08,53.389999,53.779999,53.049999,53.490002,53.490002,11774500
2017-09-11,53.790001,54.130001,53.610001,54.02,54.02,9314100
2017-09-12,53.98,54.049999,53.330002,53.540001,53.540001,10339400
2017-09-13,53.549999,54.720001,53.490002,54.290001,54.290001,12787900
2017-09-14,54.380001,54.709999,54.099998,54.529999,54.529999,8260800
2017-09-15,54.439999,54.790001,54.16,54.669998,54.669998,10744800
2017-09-18,54.799999,54.970001,54.57,54.689999,54.689999,6348400
2017-09-19,54.84,54.880001,54.560001,54.619999,54.619999,5187100
2017-09-20,54.580002,55.18,54.580002,55.150002,55.150002,7080000
2017-09-21,55.049999,55.169998,54.860001,55.009998,55.009998,7178500
2017-09-22,55.049999,55.200001,54.860001,55.09,55.09,6950000
2017-09-25,54.98,55.220001,54.700001,54.950001,54.950001,10242700
2017-09-26,55.060001,55.220001,54.799999,55.130001,55.130001,7577100
