Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,68.360001,69.059998,67.82,68.769997,67.630486,1900300
2016-09-27,68.879997,69.459999,68.870003,68.989998,67.846832,1935300
2016-09-28,68.849998,69.160004,68.410004,68.75,67.610817,1275300
2016-09-29,68.529999,69.330002,68.220001,68.239998,67.109268,1735800
2016-09-30,68.510002,68.790001,67.220001,67.349998,66.234009,3242400
2016-10-03,67.019997,67.330002,66.43,67.029999,65.919319,2245800
2016-10-04,67.379997,68.059998,66.919998,66.949997,65.840645,1471700
2016-10-05,67.300003,67.75,67.139999,67.239998,66.125839,1794100
2016-10-06,67.239998,68.339996,67.150002,68.160004,67.030602,1502200
2016-10-07,68.129997,68.400002,67.57,67.879997,66.755234,1183500
2016-10-10,68.300003,68.919998,68.25,68.510002,67.374802,1498000
2016-10-11,68.190002,68.779999,67.800003,68.260002,67.128944,2165100
2016-10-12,68.410004,68.709999,68.010002,68.269997,67.138771,1627100
2016-10-13,68.029999,68.199997,67.269997,67.379997,66.263512,1922500
2016-10-14,68.139999,68.339996,66.779999,67.260002,66.1455,1802900
2016-10-17,67.230003,67.400002,65.389999,65.540001,64.45401,2370700
2016-10-18,65.730003,66.339996,65.220001,65.269997,64.188477,2258700
2016-10-19,65.589996,67.389999,65.470001,67.370003,66.253693,2920800
2016-10-20,65.989998,66.660004,63.220001,64.989998,63.91312,6081100
2016-10-21,64.730003,65.199997,63.709999,64.93,63.854115,2498400
2016-10-24,65.040001,65.389999,64.25,64.5,63.431236,1665900
2016-10-25,64.209999,64.269997,62.779999,63.139999,62.093773,1687200
2016-10-26,63.110001,63.740002,62.959999,63.169998,62.123276,1019800
2016-10-27,63.23,63.450001,61.84,62.07,61.041504,1034800
2016-10-28,61.68,62.389999,61.619999,61.919998,60.893986,1099900
2016-10-31,61.950001,62.77,61.5,62.630001,61.592224,1516300
2016-11-01,62.75,64.93,62.650002,64.459999,63.391895,2662100
2016-11-02,64.540001,65.989998,64.540001,65.650002,64.562187,2724800
2016-11-03,66.050003,66.779999,65.519997,65.610001,64.52285,2489000
2016-11-04,65.849998,67.07,65.370003,65.440002,64.355659,2333200
2016-11-07,66.349998,66.529999,65.559998,65.760002,64.670364,1617800
2016-11-08,65.809998,65.989998,64.989998,65.730003,64.640869,1661800
2016-11-09,63.810001,67.339996,63.509998,66.989998,66.121407,2395500
2016-11-10,67.480003,68.889999,67.309998,68.669998,67.779625,2195800
2016-11-11,68.629997,71.199997,68.349998,71.099998,70.178116,3288800
2016-11-14,71.550003,72.800003,70.790001,72.050003,71.115807,3089100
2016-11-15,72.050003,72.660004,70.860001,71.709999,70.780212,2469000
2016-11-16,71.25,72.220001,71.099998,72.110001,71.175018,1662400
2016-11-17,71.900002,73.190002,71.540001,73.160004,72.211418,1531000
2016-11-18,72.889999,73.389999,72.040001,72.910004,71.964653,1669800
2016-11-21,73.239998,74.459999,72.879997,74.379997,73.415588,1811100
2016-11-22,74.550003,75.32,74.199997,74.370003,73.405724,2031500
2016-11-23,74.529999,75.459999,74.0,75.040001,74.067039,1357600
2016-11-25,75.110001,75.199997,74.519997,74.610001,73.642616,364800
2016-11-28,74.519997,75.480003,74.519997,74.919998,73.948586,1254000
2016-11-29,76.040001,76.139999,74.43,74.75,73.780792,1499500
2016-11-30,74.900002,75.360001,74.610001,75.07,74.096649,1322700
2016-12-01,75.239998,77.309998,75.059998,76.050003,75.063942,1718500
2016-12-02,76.230003,77.120003,75.519997,75.589996,74.609901,1162600
2016-12-05,76.010002,76.699997,75.550003,76.660004,75.666031,1688900
2016-12-06,76.660004,76.75,75.720001,76.339996,75.350174,968800
2016-12-07,76.339996,77.480003,75.93,77.389999,76.386559,1286600
2016-12-08,77.489998,77.489998,76.269997,76.57,75.577194,1733700
2016-12-09,76.720001,77.760002,76.029999,77.440002,76.435921,1345700
2016-12-12,76.760002,77.440002,75.980003,76.519997,75.527847,1622300
2016-12-13,76.089996,77.209999,75.699997,76.720001,75.725258,1705500
2016-12-14,76.93,76.940002,75.459999,75.489998,74.5112,1707300
2016-12-15,75.739998,76.790001,75.220001,76.25,75.261345,1678600
2016-12-16,76.470001,76.639999,75.610001,76.339996,75.350174,2476000
2016-12-19,76.25,77.099998,76.029999,76.519997,75.527847,913700
2016-12-20,76.599998,78.129997,76.230003,78.110001,77.097229,1054600
2016-12-21,78.169998,78.169998,77.480003,77.650002,76.643196,761400
2016-12-22,77.650002,77.739998,75.870003,76.209999,75.221863,1074200
2016-12-23,76.379997,76.949997,76.029999,76.129997,75.142899,574100
2016-12-27,76.449997,77.160004,76.080002,76.529999,75.537712,587600
2016-12-28,76.599998,76.879997,75.540001,75.730003,74.748085,517700
2016-12-29,75.860001,76.519997,75.57,76.019997,75.034325,722100
2016-12-30,76.260002,76.769997,75.360001,75.809998,74.827057,570200
2017-01-03,76.900002,77.25,75.730003,75.900002,74.915886,1253300
2017-01-04,75.809998,77.160004,75.410004,76.790001,75.794342,1415000
2017-01-05,76.330002,77.129997,74.940002,75.629997,74.649384,1515000
2017-01-06,75.809998,76.029999,75.080002,75.160004,74.185478,1464200
2017-01-09,75.209999,75.629997,74.68,75.370003,74.392754,877700
