Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,52.779999,52.990002,52.509998,52.580002,51.376835,1410100
2016-09-27,52.450001,53.299999,51.900002,53.220001,52.00219,1928000
2016-09-28,53.23,53.490002,52.970001,53.349998,52.129211,1342000
2016-09-29,53.330002,54.0,52.82,53.490002,52.266006,2863100
2016-09-30,53.66,55.490002,53.66,54.34,53.096558,5662100
2016-10-03,54.310001,54.84,53.82,53.93,52.695938,2073800
2016-10-04,53.849998,53.900002,52.860001,53.060001,51.845852,2310800
2016-10-05,53.330002,53.610001,53.07,53.41,52.18784,1914800
2016-10-06,53.299999,53.59,52.91,53.43,52.207386,1556100
2016-10-07,53.5,53.5,52.880001,52.889999,51.679741,2568500
2016-10-10,52.990002,53.279999,51.970001,52.209999,51.015301,2554700
2016-10-11,52.18,52.18,50.790001,50.990002,49.823215,3528400
2016-10-12,49.630001,50.32,48.75,50.080002,48.93404,4177800
2016-10-13,49.5,50.029999,49.150002,49.900002,48.758163,3651100
2016-10-14,50.23,50.380001,49.880001,49.990002,48.8461,1874600
2016-10-17,49.91,50.18,49.529999,49.700001,48.562737,1901500
2016-10-18,50.130001,50.459999,49.82,50.130001,48.982895,2479600
2016-10-19,49.900002,50.119999,49.400002,49.610001,48.474796,2618600
2016-10-20,49.610001,50.450001,49.310001,50.09,48.94381,3320600
2016-10-21,49.740002,49.82,48.970001,49.779999,48.640903,2853900
2016-10-24,50.110001,50.389999,49.900002,50.330002,49.178318,2004400
2016-10-25,50.279999,50.669998,50.200001,50.310001,49.158775,2538700
2016-10-26,50.139999,50.610001,50.02,50.290001,49.139236,1954900
2016-10-27,50.619999,50.919998,50.240002,50.32,49.168545,2850900
2016-10-28,50.34,51.09,50.23,50.259998,49.109921,2084900
2016-10-31,50.48,50.990002,50.470001,50.869999,49.705967,2491400
2016-11-01,51.029999,51.209999,50.279999,50.900002,49.735271,4210100
2016-11-02,50.919998,51.0,50.110001,50.119999,48.973125,2460700
2016-11-03,50.119999,50.990002,50.119999,50.689999,49.530079,2321800
2016-11-04,50.029999,50.57,49.779999,49.830002,49.008816,2454700
2016-11-07,50.669998,51.349998,50.490002,51.259998,50.415245,2684000
2016-11-08,51.349998,52.099998,51.18,51.700001,50.847996,2423500
2016-11-09,50.27,52.029999,50.0,51.849998,50.995522,2412700
2016-11-10,51.990002,52.220001,50.259998,50.880001,50.041515,4739300
2016-11-11,50.84,51.830002,50.779999,51.639999,50.788982,3310600
2016-11-14,51.900002,53.18,51.669998,52.830002,51.959377,3228700
